12,09,2022,11,38,57,48.039,176.257,55.393,53.802,CCW
12,09,2022,11,38,58,48.039,177.773,55.393,53.835,CCW
12,09,2022,11,38,58,48.039,179.302,55.393,53.866,CCW
12,09,2022,11,38,59,48.039,180.802,55.393,53.901,CCW
12,09,2022,11,38,59,48.039,182.353,55.393,53.934,CCW
12,09,2022,11,39,00,48.039,183.849,55.393,53.965,CCW
12,09,2022,11,39,00,48.039,185.376,55.393,53.998,CCW
12,09,2022,11,39,01,48.039,186.920,55.393,54.031,CCW
12,09,2022,11,39,01,48.039,188.448,55.393,54.061,CCW
12,09,2022,11,39,02,48.039,189.985,55.393,54.094,CCW
12,09,2022,11,39,02,48.039,191.488,55.393,54.131,CCW
12,09,2022,11,39,03,48.039,193.022,55.393,54.164,CCW
12,09,2022,11,39,03,48.039,194.566,55.393,54.196,CCW
12,09,2022,11,39,04,48.039,196.104,55.393,54.225,CCW
12,09,2022,11,39,04,48.039,197.616,55.393,54.258,CCW
12,09,2022,11,39,05,48.039,199.131,55.393,54.291,CCW
12,09,2022,11,39,05,48.539,199.916,55.313,54.309,CCW
12,09,2022,11,39,06,48.539,202.240,55.313,54.344,CCW
12,09,2022,11,39,06,48.539,203.757,55.313,54.368,CCW
12,09,2022,11,39,07,48.539,205.279,55.313,54.383,CCW
12,09,2022,11,39,07,48.539,206.034,55.313,54.394,CCW
12,09,2022,11,39,08,48.539,208.343,55.313,54.423,CCW
12,09,2022,11,39,08,48.539,209.859,55.313,54.439,CCW
12,09,2022,11,39,09,48.539,210.626,55.313,54.451,CCW
12,09,2022,11,39,09,48.539,212.151,55.313,54.472,CCW
12,09,2022,11,39,10,48.539,214.583,55.313,54.501,CCW
12,09,2022,11,39,10,48.539,215.989,55.313,54.521,CCW
12,09,2022,11,39,11,48.539,217.511,55.313,54.538,CCW
12,09,2022,11,39,11,48.539,219.031,55.313,54.559,CCW
12,09,2022,11,39,12,48.539,220.526,55.313,54.576,CCW
